"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Parashat Bamidbar","8/6/2019",,,,"true","","3","Jewish Holidays"
"Erev Shavuot","8/6/2019",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","9/6/2019",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","10/6/2019",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Parashat Nasso","15/6/2019",,,,"true","","3","Jewish Holidays"
"Parashat Beha'alotcha","22/6/2019",,,,"true","","3","Jewish Holidays"
"Parashat Sh'lach","29/6/2019",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Tamuz","3/7/2019",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Rosh Chodesh Tamuz","4/7/2019",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Parashat Korach","6/7/2019",,,,"true","","3","Jewish Holidays"
"Parashat Chukat","13/7/2019",,,,"true","","3","Jewish Holidays"
"Parashat Balak","20/7/2019",,,,"true","","3","Jewish Holidays"
"Tzom Tammuz","21/7/2019",,,,"true","Fast commemorating breaching of the walls of Jerusalem by Nebuchadnezzar","3","Jewish Holidays"
"Parashat Pinchas","27/7/2019",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Av","2/8/2019",,,,"true","Beginning of new Hebrew month of Av","3","Jewish Holidays"
"Parashat Matot-Masei","3/8/2019",,,,"true","","3","Jewish Holidays"
"Parashat Devarim","10/8/2019",,,,"true","","3","Jewish Holidays"
"Shabbat Chazon","10/8/2019",,,,"true","Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision)","3","Jewish Holidays"
"Erev Tish'a B'Av","10/8/2019",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","11/8/2019",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Parashat Vaetchanan","17/8/2019",,,,"true","","3","Jewish Holidays"
"Shabbat Nachamu","17/8/2019",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Parashat Eikev","24/8/2019",,,,"true","","3","Jewish Holidays"
"Parashat Re'eh","31/8/2019",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Elul","31/8/2019",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Rosh Chodesh Elul","1/9/2019",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Parashat Shoftim","7/9/2019",,,,"true","","3","Jewish Holidays"
"Parashat Ki Teitzei","14/9/2019",,,,"true","","3","Jewish Holidays"
"Parashat Ki Tavo","21/9/2019",,,,"true","","3","Jewish Holidays"
"Leil Selichot","21/9/2019",,,,"true","Prayers for forgivenes in preparation for the High Holidays","3","Jewish Holidays"
"Parashat Nitzavim","28/9/2019",,,,"true","","3","Jewish Holidays"
"Erev Rosh Hashana","29/9/2019",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5780","30/9/2019",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","1/10/2019",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Tzom Gedaliah","2/10/2019",,,,"true","Fast of the Seventh Month; commemorates the assassination of the Jewish governor of Judah","3","Jewish Holidays"
"Parashat Vayeilech","5/10/2019",,,,"true","","3","Jewish Holidays"
"Shabbat Shuva","5/10/2019",,,,"true","Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning)","3","Jewish Holidays"
"Erev Yom Kippur","8/10/2019",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","9/10/2019",,,,"true","Day of Atonement","4","Jewish Holidays"
"Parashat Ha'Azinu","12/10/2019",,,,"true","","3","Jewish Holidays"
"Erev Sukkot","13/10/2019",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","14/10/2019",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","15/10/2019",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","16/10/2019",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","17/10/2019",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","18/10/2019",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","19/10/2019",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","20/10/2019",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","21/10/2019",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","22/10/2019",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Parashat Bereshit","26/10/2019",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","29/10/2019",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","30/10/2019",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Parashat Noach","2/11/2019",,,,"true","","3","Jewish Holidays"
"Parashat Lech-Lecha","9/11/2019",,,,"true","","3","Jewish Holidays"
"Parashat Vayera","16/11/2019",,,,"true","","3","Jewish Holidays"
"Parashat Chayei Sara","23/11/2019",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Kislev","28/11/2019",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Rosh Chodesh Kislev","29/11/2019",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Parashat Toldot","30/11/2019",,,,"true","","3","Jewish Holidays"
"Parashat Vayetzei","7/12/2019",,,,"true","","3","Jewish Holidays"
"Parashat Vayishlach","14/12/2019",,,,"true","","3","Jewish Holidays"
"Parashat Vayeshev","21/12/2019",,,,"true","","3","Jewish Holidays"
"Chanukah: 1 Candle","22/12/2019",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","23/12/2019",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","24/12/2019",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","25/12/2019",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","26/12/2019",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","27/12/2019",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Parashat Miketz","28/12/2019",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Tevet","28/12/2019",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 7 Candles","28/12/2019",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","29/12/2019",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 8 Candles","29/12/2019",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","30/12/2019",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
